college_name,fees,established_on,courses_offered,class_timings,cutoff_marks,facilities,location_lat,location_lon
Gutierrez-Lee College,29408,1968,"B.Sc, BCA",8 AM - 4 PM,79,"Gym, Cafeteria, Labs",11.200450783418328,85.02000238832923
"Glover, Gibson and Jones College",263603,2012,M.Sc,9 AM - 3 PM,89,"Cafeteria, Hostels, Gym, Sports Complex, Library",18.55393265465239,77.49820833974222
Fernandez PLC College,195117,1957,"M.Sc, MBA, B.Sc",8 AM - 6 PM,65,"Gym, Hostels, Sports Complex",15.608126571597847,91.2286029170747
Miles PLC College,208553,2016,M.Tech,8 AM - 3 PM,65,"Sports Complex, Research Centers, Gym",36.07032487471802,92.21955861927947
"Roth, Miller and Ray College",195806,2014,MCA,10 AM - 6 PM,89,"Hostels, Cafeteria, Labs, Sports Complex, Gym",34.10501986589968,74.0302806162661
Edwards-Burke College,208810,1963,B.Sc,10 AM - 3 PM,87,"Gym, Sports Complex, Research Centers, Hostels",16.23704738061067,88.59843380301893
Woods Group College,238100,1976,"Ph.D, B.Tech, MBBS",10 AM - 5 PM,96,"Cafeteria, Labs, Research Centers, Gym, Library",17.18961235478654,77.52931017738115
Mason-Chavez College,222035,1968,"M.Sc, B.Tech, B.Sc",9 AM - 3 PM,97,"Labs, Gym, Hostels, Library",20.407763285040133,75.04633481334903
"Roberts, Williams and Marshall College",27533,1957,"Ph.D, MBBS, MCA",10 AM - 5 PM,88,"Hostels, Labs, Cafeteria",27.083733279440047,76.33558025328615
"Miller, Williams and Sullivan College",185021,1990,"B.Sc, MBA",8 AM - 5 PM,90,"Labs, Research Centers, Library, Gym, Cafeteria",8.838184650403708,86.93169065194374
Atkinson-Williams College,180097,1980,"B.Sc, BBA",10 AM - 4 PM,72,"Gym, Cafeteria, Hostels, Labs, Sports Complex",13.835764076542393,78.08796966548012
"Beltran, Krueger and Rivera College",104505,1975,"M.Sc, M.Tech",10 AM - 4 PM,98,"Library, Hostels, Labs, Gym, Cafeteria",28.801287726999927,86.30700678554169
Baker-Lamb College,258362,2008,"MBBS, M.Tech",9 AM - 6 PM,77,"Labs, Research Centers, Hostels, Gym, Library",28.014329736791282,80.82104995877522
"Carpenter, Stevens and Warren College",184207,2000,M.Tech,8 AM - 6 PM,92,"Cafeteria, Sports Complex",17.825674373783816,76.9487208604651
Weber-Kemp College,130036,1997,"BBA, B.Tech, M.Sc",8 AM - 5 PM,88,"Research Centers, Library, Labs, Hostels, Gym",8.775198249501518,73.39475870105781
Whitehead-Williamson College,81140,1997,"M.Sc, MBBS, MCA",8 AM - 6 PM,65,"Sports Complex, Gym, Labs, Hostels",34.67603166170019,84.1948234250099
Mcintyre-Smith College,210893,1964,"Ph.D, M.Tech, BBA",10 AM - 4 PM,95,"Gym, Cafeteria",17.396147055168694,93.32128280571334
Gilbert Group College,249741,2003,"Ph.D, B.Tech, MBBS",10 AM - 6 PM,67,"Sports Complex, Hostels, Library, Research Centers",31.099594532246908,84.20583850143089
"Moss, Lucas and Brown College",260240,1970,"B.Sc, MCA",10 AM - 4 PM,75,"Labs, Sports Complex, Cafeteria, Hostels",27.23364635053966,87.13937886780731
"Alexander, Elliott and Roberts College",255197,2016,MBBS,9 AM - 3 PM,74,"Gym, Sports Complex, Research Centers, Labs",23.979902194530744,94.30125461031915
Doyle Inc College,284265,1952,"M.Tech, M.Sc",8 AM - 5 PM,95,"Hostels, Library, Labs, Cafeteria",35.83291871896294,89.8340718944501
"Guerrero, Orr and Spears College",211897,1979,"M.Tech, Ph.D",8 AM - 6 PM,100,"Sports Complex, Research Centers, Library",20.710616059268833,73.8710436675692
"Evans, Dean and Ball College",293387,1960,"M.Tech, B.Sc",10 AM - 6 PM,74,"Cafeteria, Labs, Gym, Hostels, Library",21.977798277511646,88.13971412795338
Jones Group College,230557,2001,"B.Sc, BCA",8 AM - 3 PM,73,"Sports Complex, Hostels, Gym, Research Centers",12.44877009546802,76.75449979703271
Howard-Murphy College,169367,1962,BCA,9 AM - 5 PM,87,"Hostels, Gym, Labs, Cafeteria",28.725290868002627,69.44506774963239
Lara-Dennis College,183442,2000,"M.Sc, BCA, BBA",9 AM - 6 PM,71,"Cafeteria, Gym, Labs, Sports Complex, Hostels",30.0426000886791,91.39675734426156
Barrett-Flores College,230084,1961,"MBA, BBA",9 AM - 3 PM,75,"Research Centers, Sports Complex, Labs",33.499032592471906,94.81904346711579
Taylor and Sons College,56303,2003,"B.Sc, MBA, M.Tech",10 AM - 3 PM,86,"Labs, Sports Complex, Research Centers",34.24924373761623,96.97412737005301
Burton and Sons College,225120,1985,"Ph.D, MCA, BCA",8 AM - 4 PM,79,"Labs, Research Centers, Gym, Sports Complex",21.193533891795212,76.96295065076791
"Aguilar, Byrd and Murray College",23809,2015,"MBBS, BCA",9 AM - 6 PM,70,"Gym, Sports Complex, Cafeteria, Library, Labs",28.42990937596236,96.0273894707125
"Parker, Cortez and Fletcher College",201212,1998,"M.Tech, Ph.D, M.Sc",9 AM - 5 PM,85,"Labs, Library, Hostels, Cafeteria, Gym",21.79839526132392,92.79262481967017
"Pena, Velasquez and Norris College",262162,1989,BBA,10 AM - 6 PM,95,"Cafeteria, Library, Research Centers, Sports Complex, Labs",13.36331883930854,85.10425877768715
Patel PLC College,219807,2010,"MBA, BCA, BBA",10 AM - 4 PM,72,"Library, Gym",9.997244356404352,78.23207030417137
Santos-Black College,106514,1987,MBA,9 AM - 5 PM,85,"Hostels, Research Centers, Sports Complex, Gym, Labs",17.86604245079121,96.66085846518878
"Ray, Armstrong and Ellis College",285793,2019,"Ph.D, M.Tech",8 AM - 6 PM,84,"Sports Complex, Research Centers, Hostels",22.0926131916141,87.00275823133899
Walker Group College,170191,1996,"MCA, M.Sc",10 AM - 5 PM,84,"Research Centers, Labs",17.405861877581692,94.93153246993556
Mckinney PLC College,202103,1950,"Ph.D, M.Sc",8 AM - 3 PM,83,"Gym, Library",10.191983761870281,86.04519595768272
Taylor Ltd College,173344,1985,"MBA, B.Tech, M.Tech",10 AM - 3 PM,97,"Cafeteria, Hostels",31.410504474690317,93.84477198203953
Henderson-Green College,231188,2000,B.Sc,8 AM - 3 PM,82,"Library, Cafeteria, Gym",34.82460615976564,90.2295860046903
Wells-Bates College,67280,1982,B.Tech,10 AM - 4 PM,61,"Labs, Sports Complex, Hostels",11.658770846722609,90.26497960184733
Matthews and Sons College,55072,1964,"B.Tech, MBA",10 AM - 5 PM,84,"Research Centers, Hostels, Cafeteria, Gym",25.524084234053305,68.39141468750168
"Wilkerson, Prince and Jensen College",200612,1967,"B.Tech, B.Sc, BBA",10 AM - 5 PM,83,"Labs, Research Centers",35.744697940876215,74.10794436943021
Nunez Ltd College,74484,2019,"BCA, M.Tech, B.Sc",10 AM - 5 PM,80,"Labs, Hostels, Research Centers",27.47590250697082,87.90756028389802
"Harris, Garcia and Davis College",151605,1951,"M.Tech, B.Tech, Ph.D",10 AM - 4 PM,82,"Cafeteria, Gym, Sports Complex, Library",24.627127064716138,82.53996577983375
Poole Ltd College,205782,2000,"MBBS, Ph.D",9 AM - 3 PM,70,"Labs, Sports Complex, Hostels",31.045972521576804,69.08664927315257
"Hall, Cox and Shaw College",121435,1969,"Ph.D, M.Sc",8 AM - 4 PM,67,"Research Centers, Gym, Labs, Hostels, Sports Complex",28.646238224866014,75.85941183615084
"Cunningham, Wagner and Alvarez College",231472,1959,"BBA, MCA",8 AM - 4 PM,79,"Hostels, Gym",10.973760313631058,86.17794673460669
Ellison Inc College,190817,2011,"M.Tech, Ph.D, BBA",10 AM - 5 PM,66,"Hostels, Cafeteria, Labs",10.157217434582027,68.73104862850525
Kim-Sharp College,31675,1953,"MBBS, M.Sc",10 AM - 5 PM,65,"Research Centers, Gym, Labs, Hostels, Sports Complex",21.117133880971533,90.44800717140203
Berry Ltd College,133935,1969,"BBA, M.Sc",9 AM - 3 PM,98,"Hostels, Labs, Library, Sports Complex, Cafeteria",20.426848480226695,73.33636635117381
"Harrell, Ritter and Rodriguez College",80845,1973,BBA,8 AM - 4 PM,79,"Gym, Cafeteria, Labs, Research Centers",23.3057229124125,77.01215980503373
Flores-Thompson College,94501,2000,"M.Tech, B.Sc, MCA",9 AM - 5 PM,81,"Library, Gym",14.57970455318393,82.05443117038615
Lewis-Mckinney College,192855,2005,BCA,8 AM - 5 PM,66,"Cafeteria, Library, Sports Complex",12.927838132451768,71.16881496780397
Williams Inc College,182867,1965,BBA,8 AM - 5 PM,86,"Gym, Sports Complex",32.41700656033522,91.1597452370856
"Kent, Greene and Faulkner College",217553,2011,MBBS,9 AM - 6 PM,100,"Cafeteria, Sports Complex, Hostels, Research Centers",14.454831138914894,82.2312612700346
Hall-Bean College,60079,1962,"Ph.D, B.Sc",8 AM - 4 PM,65,"Library, Hostels, Labs",34.35360214536807,95.06591595704087
Ferrell-Nguyen College,206094,1959,"MBA, BCA",10 AM - 4 PM,72,"Labs, Gym, Cafeteria",25.41137742723998,82.16737976009654
Stevenson-Moody College,119413,1996,B.Tech,10 AM - 3 PM,76,"Labs, Cafeteria, Research Centers, Sports Complex, Hostels",17.703004662297808,73.76171089382163
Berg-Jackson College,109862,2019,"B.Tech, B.Sc, MBA",10 AM - 5 PM,96,"Hostels, Library, Cafeteria, Labs",8.913857211303782,76.2687971221668
"Mcdonald, Lyons and Douglas College",119817,1990,B.Sc,8 AM - 5 PM,75,"Hostels, Labs, Cafeteria, Gym, Sports Complex",36.086972435977074,79.12688138170267
"Jackson, Woods and Hanson College",43821,2008,B.Sc,9 AM - 5 PM,75,"Research Centers, Labs",21.63738123787116,96.38097968172508
Hughes-Garcia College,63341,2004,B.Tech,8 AM - 3 PM,76,"Hostels, Research Centers, Cafeteria, Sports Complex",13.08987674762215,72.38560113283943
"Pearson, Mcintosh and Rose College",254572,2008,"BBA, BCA, B.Tech",8 AM - 6 PM,66,"Sports Complex, Hostels",28.48761455825327,68.8496318166723
Dixon Group College,204446,2014,MCA,9 AM - 4 PM,82,"Labs, Cafeteria",14.223844808084698,82.0027782003103
Bender Ltd College,253135,1965,BCA,10 AM - 3 PM,73,"Research Centers, Hostels, Cafeteria, Labs",36.44730427344586,70.96341680985543
Jenkins PLC College,101163,1974,MBBS,9 AM - 6 PM,93,"Cafeteria, Gym, Hostels, Labs",22.04076793289654,68.68502804590747
"Davenport, Williams and Ruiz College",244480,1978,"MBA, M.Sc, MCA",9 AM - 3 PM,65,"Labs, Research Centers, Sports Complex, Library",21.65008546921961,85.82851253163305
"Bryant, Thomas and Gutierrez College",148472,1994,"B.Tech, MBA",10 AM - 4 PM,99,"Hostels, Cafeteria, Library, Labs, Sports Complex",9.886492284891945,91.53704499034583
Berry and Sons College,278482,1978,"BCA, MBBS, MBA",10 AM - 6 PM,93,"Sports Complex, Cafeteria, Labs, Library",9.245618526188029,89.4887092726693
"Blair, Smith and Cruz College",234504,1951,"BBA, M.Sc",9 AM - 3 PM,98,"Cafeteria, Library, Sports Complex, Gym, Hostels",11.689395469171465,81.52305085466055
Weaver and Sons College,79137,1980,BCA,8 AM - 4 PM,67,"Research Centers, Hostels",16.82345239558149,89.75570581029423
"Hughes, Cross and Deleon College",131964,2002,"BCA, B.Tech",8 AM - 5 PM,98,"Cafeteria, Labs, Gym, Research Centers",34.696070297846646,74.75371147892102
Harris-Young College,299728,2005,"BBA, Ph.D, MCA",10 AM - 5 PM,84,"Library, Research Centers, Gym",9.619619481874972,77.66743614221762
Woods-Washington College,145870,1981,"MCA, Ph.D",8 AM - 5 PM,87,"Sports Complex, Gym, Labs, Cafeteria",16.818933579570313,70.33245100052905
Sandoval-Barnes College,29260,1963,Ph.D,10 AM - 3 PM,96,"Sports Complex, Hostels, Research Centers",34.08832382990656,94.73439667550691
Rojas PLC College,287203,1957,"B.Sc, M.Sc",10 AM - 6 PM,95,"Library, Cafeteria, Research Centers, Sports Complex, Hostels",10.193331340701315,84.80139521138763
Gutierrez-Parsons College,93090,2007,"B.Tech, M.Sc, MBBS",9 AM - 4 PM,72,"Sports Complex, Cafeteria, Labs",35.706639586931544,85.36889086061736
Walsh and Sons College,37575,2007,B.Sc,10 AM - 4 PM,68,"Hostels, Research Centers, Cafeteria, Gym",26.2311580709441,82.95481219668609
Maddox-Robinson College,41181,1993,"Ph.D, B.Sc, BCA",10 AM - 3 PM,83,"Research Centers, Hostels, Labs",11.791844079333162,92.74970573250933
Osborne PLC College,85819,1988,"B.Sc, MBA",10 AM - 4 PM,94,"Labs, Hostels",21.6473346218378,70.11776313753488
"Hall, Mckenzie and Collins College",136823,1990,"MBA, Ph.D",9 AM - 6 PM,68,"Research Centers, Cafeteria, Library, Sports Complex",25.728637049227736,90.71748810596812
Harper PLC College,180798,1975,"MBBS, B.Sc",10 AM - 6 PM,89,"Research Centers, Gym, Hostels",24.161276101536338,76.65136894911049
"Bruce, Wright and Thompson College",194899,1951,"B.Sc, M.Sc, MBBS",8 AM - 5 PM,74,"Hostels, Gym, Cafeteria",20.516197368897757,82.6511395004051
Bailey LLC College,249784,1953,"MBA, B.Sc, BCA",8 AM - 4 PM,74,"Research Centers, Labs, Hostels, Library, Cafeteria",12.729795450699626,95.89486773815071
Brown-Garcia College,131309,1983,"BCA, BBA",8 AM - 4 PM,62,"Research Centers, Sports Complex",36.25597568424316,74.94894332097029
Stephens Inc College,173062,1996,MBA,10 AM - 3 PM,98,"Sports Complex, Gym, Labs, Library",34.90173487699066,93.07299945136684
Hunter-Miller College,291340,1992,B.Sc,8 AM - 6 PM,89,"Hostels, Library, Labs, Cafeteria",20.140380324837285,92.60464521744214
"Cohen, Torres and Hampton College",175521,1999,"MBA, BCA, MBBS",8 AM - 6 PM,74,"Labs, Library",23.509904033518545,93.85809410085457
Olson LLC College,150751,1955,"M.Sc, B.Tech",9 AM - 5 PM,88,"Hostels, Cafeteria, Sports Complex, Library",15.078064034598503,81.7723082616252
Weber-Wright College,180660,1973,"MBBS, M.Sc",10 AM - 5 PM,69,"Cafeteria, Labs, Library, Research Centers",31.532842507933974,91.03779004277693
Harper PLC College,103990,1952,B.Tech,8 AM - 5 PM,75,"Library, Cafeteria",9.012629468246072,91.76717253437637
"Malone, Cross and Warner College",120409,1993,"M.Tech, B.Sc, Ph.D",9 AM - 6 PM,96,"Cafeteria, Gym, Labs, Sports Complex, Library",20.437291023538457,85.32715432303581
Kaufman PLC College,39645,2015,"MBBS, Ph.D, BBA",8 AM - 4 PM,65,"Research Centers, Gym, Cafeteria, Library",34.82172229864476,89.62520461775972
Shields-Scott College,171075,1965,MBBS,8 AM - 6 PM,75,"Labs, Gym, Cafeteria, Sports Complex",24.084620161655405,90.16091872600842
Farrell-King College,250531,1998,M.Tech,9 AM - 6 PM,87,"Research Centers, Sports Complex, Gym, Library",11.13959697958487,87.3566282891636
Mercer Group College,212284,1994,"BBA, M.Tech",9 AM - 4 PM,89,"Labs, Gym, Cafeteria, Sports Complex, Library",14.60166863751704,75.34475251976725
Fletcher-Olson College,148023,1975,"B.Sc, B.Tech, BBA",9 AM - 5 PM,92,"Library, Research Centers, Sports Complex, Gym",32.27620053922429,78.26030094428394
Ball LLC College,229134,2003,"M.Tech, MBA",9 AM - 5 PM,93,"Gym, Sports Complex, Hostels, Labs, Research Centers",30.870435636862243,95.5827578613485
Pennington and Sons College,202084,2016,MBBS,9 AM - 5 PM,86,"Gym, Hostels, Research Centers, Cafeteria",36.54257501523783,89.9097411005064
Hogan Inc College,233951,2010,"B.Sc, M.Tech",8 AM - 5 PM,100,"Library, Gym",36.03426370693211,89.98914313367246
"Smith, Evans and Walker College",29909,1983,"MBA, MBBS",8 AM - 3 PM,66,"Sports Complex, Research Centers",29.20054801515449,93.85153039169174
"Anderson, Frost and Jackson College",203559,2011,"MBBS, M.Tech",10 AM - 6 PM,86,"Sports Complex, Cafeteria, Library, Labs",24.48127390886261,81.35625075872056
Robinson Ltd College,118496,1991,MBA,8 AM - 4 PM,81,"Research Centers, Sports Complex, Library, Gym",27.21266958352407,92.02398994170113
Rodriguez-Miller College,280356,2000,MCA,9 AM - 4 PM,95,"Research Centers, Sports Complex",27.71230437548464,77.25915239677167
Clark-Robertson College,97583,1966,"MCA, M.Tech",8 AM - 5 PM,95,"Research Centers, Library, Sports Complex, Cafeteria",31.805000629124418,68.52716343650972
Vega-Hahn College,213436,1957,"BBA, M.Tech, B.Sc",9 AM - 6 PM,64,"Labs, Gym, Cafeteria, Library",33.04207117843768,73.5921860603838
"Martinez, Cochran and Delacruz College",97786,1997,"BBA, Ph.D, B.Tech",10 AM - 3 PM,82,"Library, Sports Complex, Cafeteria, Research Centers",15.9285674998283,86.63929180616142
Brown-Vang College,101945,1986,M.Sc,9 AM - 6 PM,65,"Research Centers, Sports Complex",17.49836439880503,88.0313606900465
Cannon and Sons College,242880,2009,"B.Sc, B.Tech",8 AM - 3 PM,80,"Hostels, Sports Complex, Cafeteria, Research Centers",29.064140028861647,69.0043182150124
Floyd Inc College,293414,1995,"M.Sc, MBA",8 AM - 6 PM,97,"Gym, Library, Hostels, Cafeteria",16.26584465898583,69.8283543736461
"Weiss, Jackson and Holt College",263058,1971,"BBA, B.Sc, Ph.D",9 AM - 6 PM,78,"Labs, Library, Cafeteria, Research Centers, Hostels",27.292361015081543,84.89225623362555
Brown-Hall College,287931,1961,"MCA, Ph.D",8 AM - 5 PM,72,"Research Centers, Gym, Sports Complex",32.47499482074694,72.86396676055834
Austin Group College,116281,1991,"MCA, M.Tech",10 AM - 6 PM,80,"Hostels, Labs, Sports Complex, Cafeteria, Gym",32.44472654569127,73.00820980802409
"Doyle, Sanchez and Gordon College",98556,1964,"M.Tech, MBBS",9 AM - 6 PM,85,"Hostels, Cafeteria",11.879502602174426,87.4223394574226
Maxwell-Reilly College,298176,1962,"M.Tech, B.Tech",9 AM - 4 PM,65,"Sports Complex, Hostels",28.63014140428796,87.09894902404014
Klein-Brown College,109042,2008,"B.Tech, MCA",9 AM - 4 PM,65,"Research Centers, Library",34.95188171879582,83.1689586578129
"Pollard, Bowen and Powell College",25652,1950,Ph.D,8 AM - 3 PM,74,"Research Centers, Labs, Cafeteria, Hostels, Sports Complex",13.325341311323205,88.72856670731242
"Lopez, Gonzalez and Martin College",180211,2004,"M.Sc, BCA",9 AM - 5 PM,89,"Library, Research Centers, Sports Complex, Hostels",17.797395255478172,70.4440901845659
Garcia-Ingram College,237577,2011,"MCA, M.Tech, MBA",10 AM - 5 PM,88,"Cafeteria, Labs, Research Centers",15.921317441893859,85.02306571414451
"Hernandez, Hoover and Kelley College",111416,1980,MCA,8 AM - 6 PM,60,"Cafeteria, Sports Complex, Research Centers, Hostels",9.120379599933303,91.70844024432353
"Caldwell, Whitaker and Hughes College",139264,1977,"B.Sc, MBA",10 AM - 4 PM,71,"Cafeteria, Sports Complex, Research Centers, Labs, Library",22.01742404135635,81.64882409240703
"Walsh, Oconnor and Medina College",299948,2012,"B.Tech, MCA, Ph.D",8 AM - 5 PM,78,"Labs, Gym, Sports Complex, Research Centers",26.748186435120974,92.97135873943338
Jackson-Morris College,249365,1990,"Ph.D, MBA, B.Sc",9 AM - 4 PM,76,"Gym, Cafeteria",35.15340318220657,74.10297439397547
"Larson, Hunter and Cobb College",297896,1988,B.Tech,9 AM - 3 PM,60,"Sports Complex, Labs",11.884246103718226,93.18080762885792
Thompson-Castillo College,286935,1987,B.Tech,8 AM - 5 PM,94,"Library, Cafeteria, Gym",23.90167487058157,95.32712530214295
"Perkins, Alexander and Collins College",70524,1970,"M.Tech, Ph.D",10 AM - 5 PM,81,"Sports Complex, Labs, Cafeteria",20.099905170652235,88.86169034323073
Nelson Group College,74310,2007,M.Sc,9 AM - 5 PM,98,"Labs, Cafeteria",14.27217043056627,84.84518877036305
"Wilson, Robinson and Griffith College",221657,2020,"M.Tech, B.Sc, MCA",8 AM - 4 PM,93,"Library, Sports Complex, Gym, Hostels, Cafeteria",28.284949627626908,68.80440702930666
"Wilkins, Smith and Lee College",219949,1960,"MBBS, M.Sc, B.Tech",9 AM - 3 PM,69,"Sports Complex, Cafeteria, Research Centers",13.571408266309714,82.44530753814387
Mcgrath-Gray College,57575,1973,"Ph.D, B.Tech, MCA",9 AM - 4 PM,75,"Library, Gym, Hostels",19.762456321210067,81.90910478836024
"Lee, Snyder and Phillips College",268352,1966,BCA,9 AM - 3 PM,68,"Library, Cafeteria, Labs",29.653204599134828,82.55700532300105
"Rodriguez, Rich and Ruiz College",30014,1959,BBA,9 AM - 3 PM,75,"Cafeteria, Sports Complex, Gym",33.12684423683587,87.9562827648239
Dudley-Green College,283331,2010,"BBA, MCA, M.Tech",8 AM - 3 PM,81,"Research Centers, Library",31.42251706138064,78.71978997612446
Mendez LLC College,196847,1983,"MBBS, MBA, MCA",8 AM - 4 PM,91,"Cafeteria, Gym, Labs, Hostels",12.335276087594211,81.4835856206375
Ryan-Herman College,93555,1950,"BBA, MBBS, MBA",8 AM - 6 PM,88,"Sports Complex, Gym, Hostels, Labs, Research Centers",11.73104218164237,94.72575972401829
"Bailey, Murphy and Mejia College",20505,1982,MCA,9 AM - 3 PM,64,"Sports Complex, Gym, Hostels, Research Centers",20.113055416588285,96.88282185867125
Chen Inc College,96612,1975,"BCA, BBA, M.Tech",9 AM - 4 PM,61,"Sports Complex, Labs, Cafeteria, Gym",31.304322506034442,75.35875804136501
Robertson-Levy College,92403,1998,"Ph.D, B.Sc, BCA",10 AM - 4 PM,77,"Hostels, Research Centers, Library",24.552194877386945,91.22304015718464
"Nguyen, Wilson and Arias College",106417,1964,"MCA, MBA, BCA",10 AM - 4 PM,70,"Cafeteria, Sports Complex, Labs, Hostels, Gym",32.42939822264246,78.86292911662512
"Stark, Blake and Clark College",152176,1968,M.Tech,9 AM - 6 PM,81,"Sports Complex, Hostels, Research Centers, Library, Cafeteria",16.16044116784851,72.08422094622631
Reed Group College,265405,1965,B.Tech,8 AM - 3 PM,90,"Sports Complex, Labs, Research Centers, Gym",15.71615080491667,96.12009095401349
Martin PLC College,246757,1972,BBA,9 AM - 4 PM,93,"Sports Complex, Gym",12.386374290197743,93.73286142485806
Nguyen Inc College,49714,1992,BCA,10 AM - 5 PM,98,"Library, Cafeteria, Labs, Hostels, Sports Complex",17.815657219805054,83.71658816490893
Anderson and Sons College,123403,2011,MBA,8 AM - 3 PM,75,"Library, Research Centers, Hostels, Sports Complex, Cafeteria",29.09040288798503,76.96389936755854
"Rose, Payne and Orozco College",25991,1998,"BCA, MBA, MBBS",10 AM - 6 PM,60,"Research Centers, Library, Hostels",12.007139385277018,96.42500522666218
Mendez PLC College,131571,1985,"MBBS, MBA, Ph.D",9 AM - 3 PM,73,"Cafeteria, Hostels, Library, Sports Complex, Research Centers",12.920368452908154,93.99412958850019
"Martinez, Taylor and Shea College",272836,1984,"M.Sc, BCA, B.Sc",9 AM - 6 PM,94,"Gym, Library, Sports Complex",13.388621507715605,74.80061951369645
Ortiz Group College,143189,2006,"BCA, M.Tech",9 AM - 5 PM,72,"Cafeteria, Hostels",32.17646620129219,79.30959249727624
Chung-Martinez College,270730,1981,"B.Sc, M.Tech",10 AM - 5 PM,76,"Research Centers, Gym, Cafeteria, Labs",35.47189567318581,77.60054036312813
Jacobs-Anderson College,51766,2008,"M.Sc, MBBS, MCA",9 AM - 5 PM,60,"Labs, Hostels",8.206901738761902,89.91292017302338
Blankenship Group College,125781,1966,BCA,9 AM - 5 PM,63,"Labs, Sports Complex, Gym, Hostels, Research Centers",29.31025839790049,84.26986881327565
"Mcintyre, Johnson and Hudson College",55987,1979,"Ph.D, B.Sc, MBA",10 AM - 6 PM,79,"Labs, Sports Complex",13.699390028920638,81.87042007780552
Figueroa LLC College,26685,1976,"MBBS, MBA, B.Tech",9 AM - 5 PM,68,"Gym, Labs, Cafeteria, Sports Complex",31.942262244394097,71.66227034881085
Reyes-Mclean College,272448,2007,"M.Tech, Ph.D",8 AM - 6 PM,63,"Sports Complex, Hostels, Research Centers",23.89864025633325,95.43101791241244
Harrison-Robinson College,237643,1976,M.Tech,9 AM - 5 PM,97,"Cafeteria, Library, Hostels",20.55166034870002,76.02868927792444
Friedman-Rhodes College,243819,1976,"B.Sc, MBBS",8 AM - 5 PM,89,"Sports Complex, Cafeteria, Hostels",34.52571278703487,89.90132600028883
"Kidd, Johnson and Davis College",272504,1957,"MCA, BCA, M.Sc",9 AM - 3 PM,95,"Sports Complex, Hostels, Labs",31.045021771875856,71.39084510416036
"Carter, Cain and Turner College",159256,1967,"B.Sc, MBBS, MCA",8 AM - 5 PM,87,"Labs, Gym, Sports Complex",36.568373820723124,93.75715853466923
Ewing LLC College,130153,1995,"MBBS, Ph.D",9 AM - 5 PM,72,"Library, Labs, Hostels",14.485300243791091,92.97920375386934
"Huff, Benjamin and Clark College",37023,2017,MBA,8 AM - 5 PM,60,"Labs, Research Centers",32.03073484273628,82.94876871868216
"Hamilton, Adams and Richmond College",222424,1967,M.Sc,10 AM - 3 PM,68,"Library, Research Centers",32.9600643439408,84.65514594121579
Stout Inc College,174810,2009,"B.Sc, Ph.D",10 AM - 5 PM,90,"Cafeteria, Gym, Research Centers, Labs, Library",35.40271208800931,73.08929586253683
"Price, Foster and Miller College",268078,1950,"MBBS, B.Tech",8 AM - 3 PM,65,"Hostels, Cafeteria",17.581064922748567,87.86330116648566
Lewis and Sons College,132955,2006,"MBBS, Ph.D, BCA",10 AM - 5 PM,87,"Labs, Hostels, Cafeteria, Gym",29.19082901941752,79.05343596512384
Jones PLC College,178637,1979,MCA,9 AM - 3 PM,86,"Research Centers, Labs, Hostels, Sports Complex, Cafeteria",32.99389447178074,94.35648881303786
Jackson-Nelson College,47467,1978,"Ph.D, MBBS, BBA",10 AM - 3 PM,86,"Labs, Hostels, Sports Complex, Research Centers, Gym",35.423864593312125,81.82583517938916
"Thompson, Mosley and Robbins College",205811,1975,"MBA, MBBS, BBA",10 AM - 4 PM,97,"Library, Labs, Sports Complex, Gym",13.002985001312275,75.86489025987906
Bell-Riley College,89658,2016,"BBA, B.Tech",10 AM - 3 PM,76,"Research Centers, Hostels, Labs",17.67871812618947,89.45109914257986
"Edwards, Gordon and Yang College",294265,1958,"Ph.D, BBA, MBBS",9 AM - 4 PM,76,"Hostels, Gym, Library, Labs",18.846048646614477,83.78254859421169
"Moreno, Garcia and Reed College",151554,1971,M.Sc,8 AM - 3 PM,85,"Research Centers, Gym, Library, Hostels, Labs",21.253938660719044,76.89623214153154
"Cohen, Meadows and Smith College",233113,1977,"MBA, BCA",9 AM - 6 PM,61,"Hostels, Gym, Sports Complex",15.294894709684604,71.51997446752587
"Thompson, Boyd and Snyder College",215529,1999,BCA,9 AM - 3 PM,80,"Sports Complex, Cafeteria, Gym, Library",17.924960853307738,82.29027554414188
Smith Group College,242565,1992,"M.Tech, B.Tech",9 AM - 4 PM,81,"Library, Labs, Research Centers, Sports Complex, Gym",23.990761426528135,95.06591554128588
"Mcdowell, Wilkins and Patterson College",141249,1988,Ph.D,9 AM - 3 PM,90,"Gym, Hostels, Sports Complex",26.27293302322491,80.24686565487406
"Diaz, Brown and Curry College",163039,1971,"B.Tech, Ph.D",10 AM - 6 PM,62,"Labs, Hostels, Sports Complex, Gym, Library",18.230237680746576,77.30020312625037
Dougherty and Sons College,48025,1991,"BBA, Ph.D, B.Tech",8 AM - 4 PM,66,"Labs, Sports Complex, Research Centers, Hostels, Library",16.748476727143597,90.24645225022572
Hill LLC College,279194,1975,"B.Sc, B.Tech",8 AM - 3 PM,93,"Sports Complex, Gym",25.56170961495533,82.11173578148362
"Stanley, Ray and Wolfe College",190852,2010,"B.Sc, MBBS",10 AM - 4 PM,63,"Library, Gym, Cafeteria",30.861455461119572,86.05826885580379
